# corpus probe: the statements on which the analyzer and MySQL knowingly disagree.
# file	class key	sha1(sql)	first line. Rewrite with: go test ./check/mysql/internal/analyze -run TestCorpusReplay -corpus-update
alter_table	STRICT 1146	d66e6614cdd6	INSERT INTO `#sql2`      VALUES (1)
alter_table	STRICT 1146	d3321e3a4a2f	INSERT INTO `@0023sql1`  VALUES (2)
alter_table	LENIENT 1054	9fbfbadbdf9d	UPDATE t2 SET f = f + 10
alter_table-big	CODE 1137->1146	b637156ed63b	SELECT * FROM t4 AS a, t4 AS b
alter_table-big	STRICT 1146	9a4fdcaa85b1	INSERT INTO t4 VALUES (2)
alter_table-big	CODE 1137->1146	e48892bbd50f	DELETE a FROM t4 AS a, t4 AS b
alter_table-big	CODE 1137->1146	f4171e8fd27d	DELETE b FROM t4 AS a, t4 AS b
alter_table_myisam	LENIENT 1054	9fbfbadbdf9d	UPDATE t2 SET f = f + 10
archive	DIFF column type smallint->smallint unsigned	a6cdfbf8e239	select period FROM t1
archive	DIFF column type smallint->smallint unsigned	b81b3e8c36c0	select * FROM t1
archive	DIFF column type smallint->smallint unsigned	c6e5e9e77827	select t1.* FROM t1
archive	DIFF column type tinyint->tinyint unsigned	2c317a26cbce	select t2.fld3,companynr FROM t2 where companynr = 57+1 order by fld3
archive	DIFF column type tinyint->tinyint unsigned	26a7b6ab6f9a	select fld3,companynr FROM t2 where companynr = 58 order by fld3
archive	DIFF column type int->int unsigned	86d0eefb9842	select fld1,fld3 FROM t2 where fld3="Colombo" or fld3 = "nondecreasing" order by fld3
archive	DIFF column type int->int unsigned	1270d64e9993	select fld1,fld3 FROM t2 where companynr = 37 and fld3 like 'f%'
archive	DIFF column type int->int unsigned	6d969ed642a3	select fld1,fld3 FROM t2 where fld1 like "25050%"
archive	DIFF column type int->int unsigned	3e472c98a772	select fld1,fld3 FROM t2 where fld1 like "25050_"
archive	DIFF column type int->int unsigned	790d26546ab9	select * FROM t3 where fld3='bonfire'
archive	DIFF column type int->int unsigned	20b84309b4df	select * FROM t4 where fld3='bonfire'
archive	DIFF column type int->int unsigned	4e8f61654bca	SELECT * FROM t2
archive	LENIENT 1031	c2422558d986	DELETE FROM t2
archive	DIFF column type int->int unsigned	7a3e82da2c6e	SELECT * FROM t2 WHERE auto != 100000
archive	LENIENT 1022	1c858b33c23f	INSERT INTO t5 VALUES (23, "foo")
archive	LENIENT 1022	c91321bd7756	INSERT INTO t5 VALUES (3, "foo")
archive	DIFF column type string->binary	c64899c9e086	SELECT * FROM t5
archive	DIFF column type string->binary	ca47353b3290	SELECT b FROM t5
archive	DIFF column type string->binary	3c74e6d490cb	SELECT b FROM t5 WHERE a =3
archive	DIFF column type string->binary	d55363fa4526	SELECT b FROM t5 WHERE a IN (32, 23, 5)
archive	DIFF column type string->binary	7df87a33ade3	SELECT c FROM t5
archive	DIFF column type string->binary	d003a83907c8	SELECT c FROM t5 WHERE a =3
archive	DIFF column type string->binary	62ba5ab997d7	SELECT c FROM t5 WHERE a IN (32, 23, 5)
archive	DIFF column type string->binary	9c6a49fc1e51	SELECT * FROM t6
archive	DIFF column type string->binary	1465de76230a	SELECT * FROM t6 ORDER BY a
archive	DIFF column type string->binary	49922bef01c1	SELECT * FROM t6 ORDER BY a DESC
archive	LENIENT 1031	2b6933d1b616	UPDATE t SET j = '[1]'
archive	LENIENT 1031	f4a84fd0c683	DELETE FROM archive_table
archive	LENIENT 1031	f3037b0cf55c	DELETE FROM v
archive	LENIENT 1031	cae29f4a53e0	DELETE t1, t2 FROM archive_table AS t1, innodb_table AS t2
archive	LENIENT 1031	3c423823545d	DELETE t1 FROM v AS t1, innodb_table AS t2 WHERE t1.id = t2.id
archive	LENIENT 1031	78d9626149c6	UPDATE archive_table SET x = 1000
archive	LENIENT 1031	37c0cda45f4f	UPDATE archive_table AS t1, innodb_table AS t2
archive	LENIENT 1031	b96a0a80f90d	UPDATE v SET x = 1000
archive	LENIENT 1031	d7fa2540a276	UPDATE v AS t1, innodb_table AS t2
archive	LENIENT 1031	d92141ef1366	UPDATE archive_table SET x = 1 WHERE id = 1
archive	LENIENT 1031	230bbccb532a	UPDATE archive_table SET x = x + 1 WHERE FALSE
archive	LENIENT 1031	ba685283396c	UPDATE archive_table AS t1, innodb_table AS t2
archive	LENIENT 1031	d6ed662b4c80	UPDATE v SET x = 1 WHERE id = 1
archive	LENIENT 1031	c25b362f5a67	UPDATE v AS t1, innodb_table AS t2
archive	LENIENT 1031	a7bd1fa58c41	UPDATE archive_table SET x = x + 1
archive	LENIENT 1031	86adcff5b44a	UPDATE archive_table SET x = NULL
archive	LENIENT 1031	f87f328697c1	UPDATE archive_table AS t1, innodb_table AS t2
archive	LENIENT 1031	e84d19fd270b	UPDATE v SET x = x + 1 WHERE id = 1
archive	LENIENT 1031	edac3f614a05	UPDATE v AS t1, innodb_table AS t2
auto_increment	RUNTIME 1264	bb8ef6641894	INSERT INTO t1 VALUES (NULL), (NULL), (NULL)
auto_increment	LENIENT 1467	bf8404596e9e	INSERT INTO t1 VALUES (NULL), (18446744073709551615-1), (NULL)
bigint	DIFF column type bigint->decimal	15c3444b1c69	select +9999999999999999999,-9999999999999999999
bigint	DIFF column type bigint->decimal	354eb45aa3be	select -(0-3),round(-(0-3)), round(9999999999999999999)
bigint	DIFF column type bigint->decimal	0d2847957d01	select -1,-11,-101,-1001,-10001,-100001,-1000001,-10000001,-100000001,-1000000001,-10000000001,-1000
bigint	DIFF column type decimal unsigned->decimal	055b08222849	select * from t1
bigint	DIFF column type bigint->decimal	fefd134ec714	select -(-(9223372036854775808))
bigint	DIFF column type bigint->decimal	16abe0dd104f	select --9223372036854775808, ---9223372036854775808, ----9223372036854775808
bigint	DIFF column type bigint->decimal	6b713dd8c12b	select -(-9223372036854775808), -(-(-9223372036854775808))
binary	DIFF column type binary->string	5fdaf49951fe	select concat("-",a,"-",b,"-") from t1
binary	DIFF column type binary->string	3507c6cecf58	select concat("-",a,"-",b,"-") from t1 where b="hello "
binary	DIFF column type binary->string	bb59e7efa57a	select concat("-",a,"-",b,"-") from t1 ignore index (b) where b="hello "
binary_to_hex	DIFF column type string->binary	3abd07b0a7e7	SELECT * FROM t1
case	DIFF column type bigint->int	92afc20d74cb	select case a when 1 then 2 when 2 then 3 else 0 end as fcase, count(*) from t1 group by fcase
case	LENIENT 1267	48ee974fddc8	SELECT CASE 
case	LENIENT 1270	c95dbc13f467	SELECT CASE _latin1'a' COLLATE latin1_general_ci
case	RUNTIME 1690	f07c1edd3068	SELECT col_int FROM t1
cast	DIFF column type datetime->string	4970e6a913ae	SELECT CONVERT(TIMESTAMP "2004-01-22 21:45:33" USING latin1)
cast	DIFF nullable true->false	1ac03ccb6893	select
cast	DIFF nullable true->false	b2e2112ee317	SELECT
cast	LENIENT 1439	f061f06b390e	SELECT CAST( 'a' AS BINARY(4294967296))
cast	LENIENT 1439	0a8bb4be5bb3	SELECT CAST( 'a' AS BINARY(4294967296784564))
cast	DIFF column type float->double	d28f8b03f06f	SELECT CAST(1/3 AS FLOAT(10)), CAST(1/3 AS FLOAT(53))
cast	LENIENT 1426	1aac47be91b3	SELECT CAST(1/3 AS FLOAT(54))
cast	RUNTIME 1690	57d992d6655c	SELECT PERIOD_ADD(200905, CAST(3.14e19 AS DOUBLE))
cast	LENIENT 1210	dbec57f35267	SELECT CAST(ST_PointFromText('POINT(10 10)') AS YEAR)
cast	RUNTIME 3854	64b92e1161a0	SELECT CAST(x <= 0x4891f642 AS UNSIGNED) FROM t
cast	RUNTIME 3854	6d143811b25d	SELECT CAST(STRCMP(x, 0x4891f642) AS UNSIGNED) FROM t
cast	LENIENT 1426	8dc617bf79de	select CAST( 1 AS FLOAT ( 54 ) ) and CAST( 1 AS FLOAT ( 54 ) )
cast	CODE 1426->1146	9e4c030b4f97	SELECT * from v0 WHERE v1 LIKE v1 ESCAPE CONVERT ( TRUE, DATETIME (100 ) )
charset	LENIENT 1115	69aeb3c49e95	SELECT CONVERT(_latin1'abcd' USING filename)
charset	LENIENT 1115	47e640d0cbe8	SELECT CAST(_latin1'abcd' AS CHAR CHARACTER SET filename)
charset	RUNTIME 3854	0c484c408f19	SELECT 'x' AS '🐬'
check_constraints	RUNTIME 3819	b8787742eb7a	INSERT INTO t1 VALUES(1)
check_constraints	RUNTIME 3819	0cfc54392caf	INSERT INTO t1 VALUES(10)
check_constraints	RUNTIME 3819	3b1af52db195	INSERT INTO t1 VALUES()
check_constraints	LENIENT 13	dd5c5b1614c5	LOAD DATA INFILE '../../std_data/loaddata3.dat' IGNORE INTO TABLE t1
check_constraints	RUNTIME 3819	84ad7d42af66	INSERT INTO v1(f1) VALUES(3)
check_constraints	RUNTIME 3819	187189ac231b	REPLACE INTO v1(f1) VALUES(3)
check_constraints	RUNTIME 3819	93e7a4d7f7af	UPDATE v1 SET f1 = 8 WHERE f1 = 6
clear_diag_area	LENIENT 1051	94b5cea3e05d	CALL p4_unhandled_exception_returned
comments	DIFF column name	9848ceb3faf2	select 1 /*!32301 +1 */
comments	DIFF column name	1b4cf10a7540	select 1 + /*!00000 2 */ + 3 /*!99999 noise*/ + 4
commit	LENIENT 1792	c6852b774c9e	INSERT INTO t1 VALUES (1), (2)
commit	LENIENT 1792	95efa0eecccd	UPDATE t1 SET a= 3
commit	LENIENT 1792	cd655d1ff73b	DELETE FROM t1
commit	LENIENT 1792	3fc1e2aa76a6	SELECT f1()
commit	LENIENT 1792	ae2cd589953d	CALL p1()
commit	LENIENT 1792	6cb8c187ceaa	INSERT INTO v1 VALUES (1), (2)
commit	LENIENT 1792	b84b6160630e	LOCK TABLE t1 WRITE
commit	LENIENT 1792	60f251c8bd12	INSERT INTO t1 VALUES (1)
commit	LENIENT 1792	dd17d6fe1ff7	UPDATE t1 SET a=2
compare	DIFF column type int->int unsigned	9b8e478af5eb	SELECT b,c FROM t1 WHERE b = 1 AND CONCAT(b,c) = '0101'
compression	SCHEMA no database selected	087ab405b00a	INSERT INTO wl13292.t1 VALUES (1)
conflicting_variables_plugin	LENIENT 1193	b89d5e7be10e	SELECT @@sql_mode2
connection_compression_zstd	LENIENT 13	cf643f11fe03	LOAD DATA INFILE '../../std_data/inconsistent_scan.csv' INTO TABLE t1 COLUMNS TERMINATED BY "," IGNO
constraints	LENIENT 3941	71c6b2ad44aa	CALL alter_constraint_proc()
count_distinct	DIFF nullable false->true	b04b7bf844e7	SELECT '' FROM t GROUP BY 1 WITH ROLLUP HAVING GROUP_CONCAT('')
create	DIFF nullable true->false	3b6c27afc3da	select a, 
create	SCHEMA no database selected	9e2cb4e10724	select database()
create	SCHEMA no database selected	ddbd71e144a8	select database(), user()
create_select_atomic	LENIENT 1050	649668e0be20	CALL proc1()
create_select_atomic	SCHEMA session: Error N (HYN): Only BINLOG INSERT, COMMIT and ROLLBACK state	60f251c8bd12	INSERT INTO t1 VALUES (1)
csv	DIFF column type smallint->smallint unsigned	f03475fa0f23	select period from t1
csv	DIFF column type smallint->smallint unsigned	055b08222849	select * from t1
csv	DIFF column type smallint->smallint unsigned	4c1877dbac57	select t1.* from t1
csv	DIFF column type tinyint->tinyint unsigned	28d175eef713	select t2.fld3,companynr from t2 where companynr = 57+1 order by fld3
csv	DIFF column type tinyint->tinyint unsigned	d5a654516d39	select fld3,companynr from t2 where companynr = 58 order by fld3
csv	DIFF column type int->int unsigned	fca878159cf2	SELECT * FROM test_repair_table4
csv	DIFF column type int->int unsigned	63d219934bf6	SELECT * FROM test_repair_table5
csv	DIFF column type string->binary	055b08222849	select * from t1
