16586	>	b	16386	16386	16	16422	16588	16589	f	f	public
16587	>=	b	16386	16386	16	16421	16589	16588	f	f	public
16588	<	b	16386	16386	16	16418	16586	16587	f	f	public
16589	<=	b	16386	16386	16	16419	16587	16586	f	f	public
16590	<>	b	16386	16386	16	16423	16590	16591	f	f	public
16591	=	b	16386	16386	16	16420	16591	16590	t	t	public
16592	>	b	16390	16386	16	16482	16594	16601	f	f	public
16593	>=	b	16386	16390	16	16427	16601	16594	f	f	public
16594	<	b	16386	16390	16	16424	16592	16593	f	f	public
16595	>=	b	16390	16386	16	16481	16597	16602	f	f	public
16596	>	b	16386	16390	16	16428	16602	16597	f	f	public
16597	<=	b	16386	16390	16	16425	16595	16596	f	f	public
16598	=	b	16390	16386	16	16480	16600	16603	t	t	public
16599	<>	b	16386	16390	16	16429	16603	16600	f	f	public
16600	=	b	16386	16390	16	16426	16598	16599	t	t	public
16601	<=	b	16390	16386	16	16479	16593	16592	f	f	public
16602	<	b	16390	16386	16	16478	16596	16595	f	f	public
16603	<>	b	16390	16386	16	16483	16599	16598	f	f	public
16604	>	b	16394	16386	16	16518	16606	16613	f	f	public
16605	>=	b	16386	16394	16	16433	16613	16606	f	f	public
16606	<	b	16386	16394	16	16430	16604	16605	f	f	public
16607	>=	b	16394	16386	16	16517	16609	16614	f	f	public
16608	>	b	16386	16394	16	16434	16614	16609	f	f	public
16609	<=	b	16386	16394	16	16431	16607	16608	f	f	public
16610	=	b	16394	16386	16	16516	16612	16615	t	t	public
16611	<>	b	16386	16394	16	16435	16615	16612	f	f	public
16612	=	b	16386	16394	16	16432	16610	16611	t	t	public
16613	<=	b	16394	16386	16	16515	16605	16604	f	f	public
16614	<	b	16394	16386	16	16514	16608	16607	f	f	public
16615	<>	b	16394	16386	16	16519	16611	16610	f	f	public
16616	>	b	16398	16386	16	16554	16618	16625	f	f	public
16617	>=	b	16386	16398	16	16439	16625	16618	f	f	public
16618	<	b	16386	16398	16	16436	16616	16617	f	f	public
16619	>=	b	16398	16386	16	16553	16621	16626	f	f	public
16620	>	b	16386	16398	16	16440	16626	16621	f	f	public
16621	<=	b	16386	16398	16	16437	16619	16620	f	f	public
16622	=	b	16398	16386	16	16552	16624	16627	t	t	public
16623	<>	b	16386	16398	16	16441	16627	16624	f	f	public
16624	=	b	16386	16398	16	16438	16622	16623	t	t	public
16625	<=	b	16398	16386	16	16551	16617	16616	f	f	public
16626	<	b	16398	16386	16	16550	16620	16619	f	f	public
16627	<>	b	16398	16386	16	16555	16623	16622	f	f	public
16628	>	b	16402	16386	16	16500	16630	16637	f	f	public
16629	>=	b	16386	16402	16	16445	16637	16630	f	f	public
16630	<	b	16386	16402	16	16442	16628	16629	f	f	public
16631	>=	b	16402	16386	16	16499	16633	16638	f	f	public
16632	>	b	16386	16402	16	16446	16638	16633	f	f	public
16633	<=	b	16386	16402	16	16443	16631	16632	f	f	public
16634	=	b	16402	16386	16	16498	16636	16639	t	t	public
16635	<>	b	16386	16402	16	16447	16639	16636	f	f	public
